category,text
business,yukos seek court action sale yukos return u court wednesday seek sanction baikal finance group little know firm bought main asset yukos say sue baikal others involve sale yuganskneftegas 20bn damage yukos u lawyer attempt baikal asset frozen russian government ignore u court order last week block sale baikal background motif buying unit still unclear russian newspaper claimed baikal bought yuganskneftegas production unit 9 4bn 261bn rouble 4 8bn sunday state provoke auction strong link surgutneftegas russia fourth big oil producer many observer believe unit produce 60 yukos oil output could ultimately fall hand surgutneftegas even gazprom state gas firm opt auction russian government force sale yukos lucrative asset part action enforce 27bn back tax bill say company owes yukos u lawyer claim auction illegal firm file bankruptcy therefore asset protection u bankruptcy law worldwide jurisdiction wednesday yukos also seek legal remedy prevent break group believe auction illegal intend pursue legal recourse available u yukos spokesman mike lake told agence france press export oil marketing steal product add future ownership yuganksneftegas remains unclear amid widespread suggestion baikal establish front interest speak tuesday president putin say baikal own individual investor plan build relationship russian energy firm interested development yuganskneftegas president putin also suggest china national petroleum corporation could play role unit future signing commercial agreement gazprom work joint energy project yukos claimed sale main asset lead collapse company commentator yukos claim firm target government campaign destroy political ambition founder mikhail khodorkovsky
tech,freeze anti spam campaign campaign lycos europe target spam related website appear put hold earlier week company release screensaver bombard site data try bump run cost website site host screensaver display pink graphic word stay tune one lycos available comment late development controversial anti spam campaign lycos europe make love spam campaign intend way user fight back mountain junk mail flood inboxes people encourage download screensaver pc idle would send lot data site peddle good service mention spam message lycos say idea get spam site run 95 capacity generate big bandwidth bill spammer behind site plan prove controversial monitoring firm netcraft analyse response time site target screensaver found number completely knock offline down site could dent lycos claim amount distribute denial service attack attack thousand computer bombard site data attempt overwhelm law many country explicitly outlaw attack many nation draft computer use law make specific offence lycos europe appear put plan hold site host screensaver currently show hold page word stay tune numerical internet address site also change likely response spammer reportedly redirect traffic site back lycos screensaver site campaign come fire corner web many discussion group say set dangerous precedent could incite vigilantism attack spammer website like poke grizzly bear sleep back garden pointy stick say graham cluley senior technology consultant sophos screensaver similar approach potentially illegal distribute denial service attack also danger turn innocent computer user vigilante may prepared whatever retaliation spammer care dream
entertainment,christmas song formula unveiled formula ultimate christmas single reveal chart bible british hit single album recipe include reference father christmas sleigh bell child choir charity element song also include christmas title wish peace earth lot airplay office party common musical element link nearly big christmas number one recent time say editor david robert book analyst commission chart prank group moped create first christmas single use whole formula song call gonna 1 christmas moped v santa everybody say christmas number one formulaic gonna number one christmas first song crack formula combine element one ultimate christmas track say mr robert surprisingly santa list among 8 000 top 75 chart performer book chance help santa rightful place british record history big festive hit year include band aid know christmas slade merry christmas everybody wham last christmas sir cliff richards mistletoe wine band aid 20 remake know christmas set confirm number one chart sunday
politics,tory stalk horse meyer dy sir anthony meyer tory backbencher challenged margaret thatcher party leadership 1989 die 84 suffer cancer many month die london home fail stalk horse leadership challenge make easy michael heseltine mount bid turn pave way john major move 10 down street second ballot meyer constituency party clwyd north west represent mp 20 year deselected result challenge sir anthony john charles meyer born 27 october 1920 educate eton new college oxford serve scot guard 1941 1945 wound tank normandy work edward heath europe foreign office subsequently eton slough seat tory 1964 11 vote labour regain seat two year later meyer wait 1970 could enter parliament prospect front bench slot remain remote tend defy party line
tech,china net cafe culture crackdown chinese authority close 12 575 net cafe closing month 2004 country government say accord official news agency net cafe close operating illegally chinese net cafe operate set strict guideline many recently close broke rule limit close school move late series step chinese government take crack considers immoral net use official xinhua news agency say crackdown carry create safer environment young people china rule introduce 2002 demand net cafe least 200 metre away middle elementary school hour child use net cafe also tightly regulate china long worried net cafe unhealthy influence young people 12 575 cafe shut three month october december china also try dictate type computer game people play limit amount violence people expose net cafe hugely popular china relatively high cost computer hardware mean people pc home first time chinese government move net cafe operating within strict guideline 100 000 net cafe country require use software control website user see log site people visit also kept law net cafe opening hour use introduce 2002 follow fire one cafe kill 25 people crackdown follow blaze authority move clean net cafe demand get permit operate august 2004 chinese authority shut 700 website arrest 224 people crackdown net porn time introduce new control block overseas sex site reporter without border group say report chinese government technology e mail interception net censorship among highly developed world
business,bush outline toughest budget president bush send toughest budget proposal date u congress seek large cut domestic spending low deficit 150 federal program could cut axed altogether part 2 5 trillion 1 3 trillion package aim curb giant u budget deficit defence spending rise however proposal exclude cost continue military operation iraq vice president dick cheney say budget tightest far heart administration fifth budget present congress monday austere package domestic measure would see discretionary spending rise project level inflation belt tighten design tackle massive budget deficit increase president bush first term mr cheney admit budget toughest bush presidency argue fair responsible something do meat axe suddenly turn back needy people society say war iraq afghanistan increase expenditure national security 9 11 2001 recession wipe budget surplus inherit president bush 2001 turn record deficit shortfall project rise 427bn 2005 education environmental protection transport initiative set scale back first step towards reduce deficit 230bn 2009 controversially government seek cut medicaid budget provide health care nation poorest 45bn reduce farm subsidy 587m spending defence homeland security set increase although much originally plan president bush proposal would see pentagon budget rise 19bn 419 3bn homeland security would get extra 2bn budget include cost run military operation iraq afghanistan administration expect seek extra 80bn congress later year also feature proposal cost funding administration radical propose overhaul social security provision expect believe could require borrowing 4 5bn trillion twenty year period despite republican hold majority house congress proposal fiercely contest next month john mccain republican senator say pleased administration prepared tackle deficit deficit run glad president come austere budget say however democratic senator kent conrad say proposal expose country huge financial commitment beyond 2009 cost everything president bush advocate explodes say
entertainment,cage film third week u top nicolas cage movie national treasure topped u canada box office third week row national treasure make 17 1m 8 8m ticket sale friday sunday accord studio estimate take total 110 2m 56 7m comedy christmas kranks star tim allen jamie lee curtis second place polar express enter third place jude law film closer make debut number six oliver stone big budget epic alexander star colin farrell follow last week disappoint sixth place opening slump seventh place taking 4 7m 2 4m critic savage three hour epic reportedly cost 150m 77m make national treasure see cage character ben gate chase hidden fortune make disney studio cage fourth collaboration jerry bruckheimer usually note male orientate action film
sport,pountney hand ban fine northampton coach budge pountney fin 2 000 ban match day coach six week call referee disgrace pountney found guilty bring game disrepute rugby football union disciplinary hearing london thursday night pountney criticise referee steve lander performance northampton defeat saracen 5 february last two week six week ban suspend pountney plead guilty offence panel consist chairman robert horner nigel gillingham jeff probyn ban mean former scotland international pountney cannot enter play enclosure technical area go near touchline tunnel player official area day game
entertainment,bafta hand movie honour movie star across globe attend year bafta film award ceremony british star imelda staunton clive owen hop award odeon london leicester square hollywood star leonardo dicaprio pierce brosnan christian slater richard gere also audience big night uk film hollywood blockbuster aviator star dicaprio lead field 14 nomination include best movie eternal sunshine spotless mind find neverland motorcycle diary british film vera drake 11 nomination staunton one favourite land best actress award gritty role backstreet abortionist small budget film arrive ceremony wear green silk chiffon low cut even dress decorate bead lovely home british soil nice indeed told reporter ask whether nervous best actress nomination say hand nothing lot mate go nice even nominee best actress category include charlize theron monster ziyi zhang house fly dagger uk star kate winslet two nod role eternal sunshine spotless mind find neverland dicaprio face competition bernal jamie foxx jim carrey johnny depp best actor category crow scream arrive red carpet unlike anything ever encounter intense loud told bbc first time come baftas first time nominate appreciate british cinema long time recognise like special honour gere present best film award say big party idea go big crazy think big academy award british actor owen hop repeat golden globe success best support actor award role closer raise one big cheer night walk red carpet always huge fan closer play get call appear film huge thrill say whole experience treat fortunate give role co star natalie portman blanchett heather craney julie cristie meryl streep best support actress category mike leigh best director award vera drake alongside martin scorsese aviator michael mann collateral michel gondry eternal sunshine spotless mind marc forster find neverland orange british academy film award show bbc one 2010 gmt
sport,ireland surge past scot ireland maintain six nation grand slam ambition impressive victory scotland murrayfield hugo southwell try give scot early 8 0 lead score lock malcolm kelly paul connell put visitor command half time third try wing denis hickie third penalty ronan gara kick 13 point extend lead jon petrie score second try scotland late score john hayes gavin duffy seal victory two hard earn away victory eddie sullivan side look forward welcome england lansdowne road fortnight scotland try give coach matt williams first six nation victory italy come edinburgh struggle turn pressure point home side start tremendous intensity dominate territory possession opening 10 minute powerful charge flanker jason white carry ali hogg ireland concede penalty close line scotland kick touch irish defence foil home side occasion stray hand ruck allow paterson stroke penalty eighth minute paltry reward early pressure scotland get try deserve paterson sear break andy craig pas sent southwell streak right corner paterson target conversion fly half dan park miss presentable drop goal attempt ireland get scoreboard gara penalty 24th minute visitor ahead stuart grime pull kelly line ireland kick penalty touch set piece big lock driven rest pack gara add conversion penalty shane horgan almost grabbed second try gara chip corner ball spill hand ireland still deliver hammer blow scotland hope interval connell skipper absence brian driscoll power park weak tackle free kick scrummage burrow scotland suffer blow resumption ireland flanker johnny connor another vital turnover gara basketball pas sent hickie left corner gara convert thumped 40m penalty give visitor command 28 8 advantage scotland look bereft idea half break paterson spark back life hour stuart grime line well work move saw petrie scuttle round side ruck dive left corner prove false dawn ireland reassert authority final 10 minute peter stringer kelly combine put giant prop hayes right corner replacement gavin duffy scorch away left david humphreys add final flourish touchline conversion c paterson danielli craig h southwell lamont park c cusiter smith g bulloch capt g kerr grime murray j white hogg j petrie r russell b douglas n hines j dunbar blair g ross b hinshelwood g murphy g dempsey horgan k maggs hickie r gara p stringer r corrigan byrne j hayes kelly p connell easterby j connor foley f sheahan horan callaghan e miller g easterby humphreys g duffy joel jutge france
entertainment,star pay tribute actor davis hollywood star include spike lee burt reynolds oscar nominee alan alda paid tribute actor ossie davis funeral new york veteran star ossie davis well know civil right activist die miami age 87 4 february 2005 friend family include actress ruby dee wife 56 year gather riverside church saturday also present service former u president bill clinton singer harry belafonte give eulogy would good president united state say mr clinton like give give 87 year old found dead last weekend hotel room florida make film police say appear die natural cause davis make act debut 1950 way star sidney poiter frequently collaborate director spike lee star seven lee film include jungle fever right thing malcolm x attallah shabazz daughter activist malcolm x recall famous eulogy deliver davis father funeral harlem come bid farewell one fine hope say quote man knew uncle ossie ditto ossie hero still say aviator star alan alda family friend forty year ossie thing beauty want badly someday dignity little anyway add burt reynolds davis co star 90 tv comedy even shade midday funeral score harlem resident form queue outside church pay respect davis hard fathom longer able call wisdom humour loyalty moral strength guide u choice yet make battle yet fought say belafonte ardent civil right activist friend davis 60 year fortunate long
politics,fox attack blair tory lie tony blair lie take uk war qualm lie election campaign say tory tory co chairman liam fox speak mr blair told labour member tory offer hard right agenda dr fox told bbc radio willing lie reason go war guess go lie anything would discus report party repaid 500 000 lord ashcroft predict election defeat prime minister ratchet labour pre election campaign weekend helicopter tour country speech party spring conference insist know poll date widely expect 5 may see highly personal speech gateshead sunday mr blair say passion hunger first walk door 10 down street described relationship public start euphoric struggle live expectation reach point raise voice throw crockery warn supporter complacency say fight future country fight britain people britain win mr blair say whether public chose michael howard mr kennedy would result tory government labour government country go back move forward dr fox accuse mr blair cabinet minister tell lie opponent policy attack lie learn weekend labour tactic go go fear smear told bbc news tory co chairman attack labour six new pledge vacuous say mr blair worried voter would take revenge failure deliver dr fox refuse discus weekend newspaper report party repaid 500 000 former tory treasurer lord ashcroft say party could win election repay loan due comment individual financial matter say insist enjoy warm constructive relationship lord ashcroft meanwhile lib dem leader charles kennedy expect attack mr blair word begin nationwide tour monday mr kennedy accelerate lib dem election preparation week visit manchester liverpool leicester somerset basingstoke shrewsbury dorset torbay say three party politics northern city contest labour liberal democrat southern rural seat especially south west principal contender liberal democrat conservative run scotland wale lib dems accuse mr blair make touchy feely speech labour delegate help regain public trust
business,quiksilver move rossignol share ski rossignol world large ski maker jumped much 15 speculation bought u surfwear firm quiksilver owner rossignol boix vives family say consider offer quiksilver analyst believe sport good company may take closer look rossignol prompt auction push sale price high nike k2 previously mention possible suitor rossignol share touch 17 70 euro fall back trade 7 8 high 16 60 euro european sport good company see foreign revenue squeeze slump value u dollar make takeover attractive analyst say company quiksilver would able cut cost sell rossignol ski shop add boix vives family thought spent past couple year sound possible suitor rossignol also make golf equipment snowboard sport clothing
sport,dallaglio eye lion tour place former england captain lawrence dallaglio still harbour hope place british irish lion tour new zealand lion coach sir clive woodward make clear pick squad tour next summer base form show six nation championship dallaglio call time england earlier year say assure let anyone know take offer told daily telegraph dallaglio tour south africa lion 1997 force home early knee injury trip australia three year ago 32 year old also felt concentrate club rugby could prolong international shelf life say good shape fresh without another 10 test clock witness close quarter sunday heineken cup match leicester certainly feel place alongside player many trip fit play well certainly available clive feel need look outside international crop fine need look far
business,india rupee hit five year high india rupee hit five year high standard poor p raise country foreign currency rating rupee climbed 43 305 per u dollar thursday close 43 41 currency gain almost 1 past three session p rate borrower creditworthiness lift india rating one notch bb indian asset see less gamble cash expect flow market buoying rupee upgrade positive basically people use excuse come back india say bhanu baweja strategist ubs money move india first two three week january market like korea thailand upgrade lead reversal india foreign currency rating one notch investment grade start bbb increase put level romania egypt el salvador one level russia
sport,faultless federer equal roger federer nice bloke fantastic tennis player ultimate sportsman lleyton hewitt shook hand get another thrash third many month australian say best right stats speak 11 title 11 final 2004 three grand slam 13 final victory row go back vienna 2003 open era record hewitt time houston show form easily match grand slam win effort 2001 2002 outplayed twice hewitt along andy roddick marat safin sure prominent 2005 realistically three fight world number two rank accord player even federer swiss star different league right feel little bit told bbc sport dominate top ten player say nice thing beaten dominate game right hope continue number one player world also main man promote sport court vote international tennis writer best ambassador tennis atp tour time everyone every match first round final follow series press interview three language english french swiss german major win extra request obligation interview see end courtesy importantly good humour guy funny good time guy say genuinely happy talk yet another tape recorder see pretty much every day tour give away hour interview really problem promote tennis sport good people say thanks back nice refresh attitude someone could easily dominate sport page decade sum modest personality shortly collect waterford crystal trophy mercedes convertible tasty cheque 1 5m federer address houston crowd conclude say thanks need find way win french open one grand slam far elude
sport,young debut cut short ginepri fifteen year old donald young first appearance atp tennis tournament prove brief teenager go round one san jose open young shot top junior world ranking boy single january australian open wildcard entry dispatch fellow american robby ginepri straight set 6 2 6 2 california despite happy tour debut fun chance come say young beat two player ranked top 200 14 2 1 first set lose 10 next 13 game ginepri six year old young player ever win junior slam top global standing admit impressed talented say ginepri get long future ahead left hand quick around court serve little deceptive come net volleyed well thought earlier south korean hyung taik lee defeat american jan michael gambill 6 3 7 6 7 4 american kevin kim defeat jan hernych czech republic 7 5 6 3 canadian qualifier frank dancevic down american jeff morrison 4 6 7 6 7 3 6 0 denmark kenneth carlsen beat irakli labadze republic georgia 6 7 4 7 6 2 6 3 top seed andy roddick launch defence title wednesday qualifier paul goldstein second seed andre agassi open campaign tuesday wildcard bobby reynolds last year u collegiate champion agassi san jose five time run three straight title end last year fell mardy fish semi final fish go lose roddick final
entertainment,top gig award scissor sister new york band scissor sister gig year award performance year v festival award vote listener virgin radio compile top 10 mostly dominate newcomer music scene year quirky disco rock band beat red hot chili pepper come second hyde park performance june virgin radio dj pete mitchell say year see amaze array talent come mainstream add scissor sister one original eccentric band come surprise british public lap performance newcomer keane come third place august gig v festival follow maroon 5 snow patrol music veteran david bowie earn place list number eight 10 respectively number seven oxfam make fair trade gig london hammersmith apollo october feature performance rem razorlight coldplay chris martin glasgow franz ferdinand earn place number nine home town performance april annual survey vote nearly 4 000 listener
sport,ruddock back yapp credential wale coach mike ruddock say john yapp take international 21 year old blue prop uncapped player wale six nation squad gain chance absence osprey loose head duncan jones john young man big future play blue two year rack mileage play clock say ruddock international size big physical lad good ball carrier high tackle count ruddock assessment back yapp coach blue former wale lion prop dai young john upward curve season go strength strength young told bbc sport wale ball carry give u good go forward impress defence work rate excellent work hard scrummaging technique keen improve become destroyer loose head fair quite scrummaging yet nobody fault effort commitment attitude john strong man eager challenge pitch let anyone develop quickly hope push quickly way would hurt development ruddock hope selection yapp dragon lock ian gough international reckon since fall former coach steve hansen send message player wale john ian reward impress heineken cup competition say ruddock played well want send message consistently play well get squad believe excite squad represent traditional value welsh rugby base performance november international strength experience front well recognise talent pace skill behind management team want get hold player get training pitch moment due sunday hard work start
politics,iraq advice claim spark new row tory say minister must respond parliament claim legal advice use justify iraq war drawn number 10 down street deny claim make new book attorney general lord goldsmith advice lord goldsmith also deny say lean way conservative liberal democrat say want publication full legal advice give attorney general government consistently refuse publish lord goldsmith advice legality war say paper always kept confidential short statement lord goldsmith position present write parliamentary answer 17 march 2003 crucial common vote military action say plain iraq continued material breach un resolution 1441 new book lawless world philippe sand qc international law professor suggests parliamentary answer write down street accord mr sand lord goldsmith warn tony blair document 7 march 2003 use force iraq could illegal would safer seek second un resolution sanction military action mr sand told newsnight government prepared legal team able defend case case legal action take uk war 10 march military chief reportedly ask unequivocal statement legality war make sure troop could defend court law book serialise guardian newspaper say 13 march lord goldsmith met home office minister lord falconer down street adviser baroness morgan down street proceed set lord goldsmith view parliamentary answer publish 17 march say mr sand tory leader michael howard reiterate call publication full legal advice give attorney general warn issue go away revelation throw intensive spotlight cavalier way government operates even issue important peace war government need act restore public confidence trust liberal democrat foreign affair spokesman menzies campbell repeat party call lord goldsmith first piece legal advice make public public interest government claim justifies non publication whole advice serve full disclosure statement newsnight lord goldsmith say parliamentary answer march 17 2003 explain genuinely held independent view military action lawful exist security council resolution certainly view express result lean way already make clear write number 10 prime minister official spokesman also reject claim say attorney general make clear word judgement ex foreign secretary robin cook say advice publish say claim suggest parliament receive pr 233 ci lord goldsmith second opinion actually draft 10 would wrong even lord goldsmith sign statement mr cook say attorney general advice independent legal opinion subject political negotiation kind
politics,mp issue blackberry threat mp thrown common use blackberry chamber speaker michael martin rule 200 handheld computer use phone pager send e mail device gain new prominence week alastair campbell use accidentally send expletive laden message newsnight journalist mr martin reveal mp use blackberry debate also caution member use hidden earpiece use electronic device common chamber long frown sound mobile phone pager result strong rebuke either speaker deputy speaker chair debate common charge ensure order chamber enforce rule convention house always mp chosen colleague nominate give party political allegiance
business,lacroix label bought u firm luxury good group lvmh sell loss make christian lacroix clothing label u investment group paris base firm shed non core business focus profitable brand include moet chandon champagne louis vuitton lvmh say french designer haute couture ready wear label purchase falic group unspecified sum falic group bought two cosmetic label lvmh 2003 sale lacroix label come many fashion house struggle make money expensive haute couture range florida base falic group also run chain 90 duty free store u say plan expand brand opening new store mr lacroix say plan stay label found 1987 although exact detail still confirm
entertainment,incredibles win animation award incredibles movie beaten shrek 2 main prize hollywood animation award annies superhero film name best animate feature brad bird best director writer voice actor role designer edna mode incredibles total 10 award shrek 2 seven nomination go home empty hand two movie compete shark tale best animate film category oscar end february incredibles award come despite shrek 2 great box office success shrek 2 take 881m 468m around world compare 576m 306m incredibles spongebob squarepants name best animate tv show tv comedy king hill picked two prize include one actress brittany murphy voice work tom kenny provide voice spongebob squarepants host sunday ceremony alex theater los angeles award hand international animate film society find nemo nine annies last year
tech,speech take search engine scottish firm look attract web surfer search engine read result call speegle look feel normal search engine add feature able read result scottish speech technology firm cec system launch site november expert question whether talk search engine real benefit people visual impairment edinburgh base firm cec married speech technology ever popular internet search ability search become increasingly crucial surfer baffle huge amount information available web accord search engine ask jeeves around 80 surfer visit search engine first port call net people visit speegle select one three voice read result query summarise news story source bbc reuters still bit robotic make mistake never go completely natural sound voice bad say speegle founder gordon renton system ideal people blur vision want search something background something else say suitable totally blind people although royal national institute blind rnib look technology add julie howell digital policy manager rnib express doubt whether speegle similar site add anything blind people experience web whole lot option like spring web one think carefully market go say blind people specialise screen reader available job technology sophisticated way add site us technology dubbed panavox take web text convert synthesise speech past speech technology compatible broadband huge file downloads cec say compression technology mean also work slow dial connection visitor speegle may notice look feel site bear passing resemblance well know silent search engine google google connection speegle use bright colour simply make site visible visual impairment say mr renton rip something google planning truth say imitation sincerest form flattery say speegle prove popular learn english country japan china site bombard people listen word repetition could useful although may end talk like robot say mr renton
business,two nigerian bank set merge nigerian bank united bank africa standard trust bank agree plan merge create big bank west africa deal also line 2004 directive nigerian central bank call consolidation nation crowd banking sector merger announce statement standard trust website tuesday financial detail reveal united bank third big nigeria term number branch standard trust small profitable board united bank standard trust separate meeting yesterday approve arrangement merge institution standard trust say standard trust 100 nigerian own united bank foreign investor include new york base global depository receipt 32 8 banca nazionale del lavoro monte del paschi di siena italy 2 4 stake
sport,white prepared battle tough scrummaging prop julian white expect resurgent wale give rough ride england six nation opener cardiff saturday leicester tight head form life make england number three shirt know wale put technique immense scrutiny welsh scrum force reckon told bbc sport make lot change well last year white also impressed welsh pack strength depth gethin jenkins start loose head played bit tight head think favour position loose head good add 31 year old make massive contribution england leicester cause late arguably form tight head prop world destroyed south africa o du randt scrum twickenham last autumn give england platform impressive 32 16 victory leicester sign white bristol west country side relegate zurich premiership summer 2003 also aid white presence season tiger sit pretty top premiership table also book place last eight heineken cup pleased form say form help people play leicester people like martin johnson graham rowntree good season far start xv first game six nation every player want delighted way thing go get right weekend white one experienced member england squad take field saturday injury take toll coach andy robinson deprive richard hill jonny wilkinson martin corry mike tindall greenwood stuart abbott 27 cap world cup winner medal name white position offer experience youngster centre matthew tait jamie noon know much experience tight head give centre give pat back thing go wrong want talk way add first come squad people like jason leonard martin johnson first come talk thing help give lot confidence people like speak awe lot sit speak realise wavelength good white miss vast majority last year six nation knee injury raring 2005 event get go despite opening game take place amid red hot atmosphere cardiff enjoy atmosphere millennium stadium probably one best stadium world say go hear shout sing one favourite place play probably even six nation long time england ireland france wale contender form ireland favourite know great thing tournament
business,takeover offer sunderland fc bob murray chairman sunderland fc launch 1 5m 2 8m bid club buying broadcaster bskyb stake business mr murray already sunderland lead shareholder hold 37 6 stake hope take full control championship side mr murray say club would find easy attract investment single majority owner sunderland delist share stock market august lifetime sunderland supporter board director since 1984 mr murray agree buy bskyb 4 76 hold wearside club tuesday take stake 42 3 stock market rule mr murray require make offer remain share already price paid bskyb hold 31p share offer fully accepted mr murray say expect pay maximum 1 53m remain share also stress fan want keep touch club financial affair could retain small number share enable attend annual meeting football sector experience significant change uncertainty mr murray say statement recent speculation surround malcolm glazer manchester united show unsettle effect possible number disparate interest add believe offer strengthen company remove potential type uncertainty sunderland relegate premiership 2003 currently push promotion club manage reduce loss last year 20 6m 1 2m sell host lead player however club turnover drop sharply 42 5m 28 5m period fall broadcast revenue bskyb bought stake sunderland 1999 part five year medium partnership deal deal expire last month
entertainment,uk debut kevin spacey movie hollywood star kevin spacey kate bosworth attend british premiere new film beyond sea london leicester square thursday spacey 45 write direct star film inspire life 1950s croooner bobby darin tribute someone think remarkable talent say spacey darin sings 18 song film soundtrack bosworth 21 play darin wife real life hollywood actress sandra dee knew absolutely nothing bobby darin film huge fan say bosworth attend premiere british boyfriend orlando bloom darkness tragedy story dream land part actress sandra dee continue live los angeles virtual recluse give approval biopic call last week say love say spacey join premiere member boy band westlife spacey double oscar winner long fascinate story singer bobby darin voice behind mack knife dream lover beyond sea fought childhood illness become one big star 1950s die age 37 heart condition troubled life bobby darin one great entertainer world ever know yet die young kind forgotten say spacey premiere make film fun ever entire life movie also star british actor bob hoskins brenda blethyn darin mother
business,uk bank seal south korean deal uk base bank standard charter say would spend 3 3bn 1 8bn buy one south korea main retail bank standard charter say acquire korea first bank kfb fulfil strategic objective building big presence asia third large economy share fell nearly 3 london bank raise fund deal sell new stock worth 1bn 1 8bn equal 10 share capital standard charter expect 16 future group revenue come kfb south korean bank also make 22 group total asset move year citigroup beat standard charter buy koram bank would south korean financial sector big foreign takeover time around standard charter thought beaten hsbc deal kfb south korea seventh large bank 3 million retail customer 6 country banking market extensive branch network country banking market three time size hong kong annual revenue 44bn standard charter headquarters london two third business asia much rest africa comfortable price paid key speed decisiveness make sure say standard charter chief executive mervyn davy london press conference standard charter say kfb well manage conservatively run bank highly skilled workforce represent significant acquisition growth market london standard charter sale 118 million new share institutional investor push share price contribute ftse 100 0 3 decline standard charter share 28 penny low 925p midday analyst also query whether standard charter overpaid kfb deal require regulatory approval expect complete april 2005 earnings accretive 2006 standard charter say rival banking giant hsbc base london hong kong also run standard charter believe gain initiative put together bid christmas break able move quickly caught hsbc surprise financial time newspaper quote insider talk say hsbc wait next south korean bank line sell thought likely korea exchange bank also currently hand u group standard charter say buying 100 kfb agreement would bring end bank complex dual ownership south korean government own 51 4 kfb remain shareholding operational control hand u private equity group newbridge capital newbridge bought stake government nationalisation several bank wake 1997 asia wide currency crisis cripple south korea financial institution south korea economy expect grow 4 5 year although often thought export driven economy south korea service sector overtaken manufacturing last decade service make roughly 40 economy consumer spending retail banking become increasingly important aftermath asian financial crisis government encourage growth consumer credit bad loan problem follow lg card country big credit card provider struggle avoid bankruptcy month instance analyst believe south korea financial service industry still infancy offering plenty scope new product standard charter see opportunity create value introduction sophisticated banking product since 1999 kfb restructure wholesale bank retail bank focus mortgage lending make 45 loan
business,business fear sluggish eu economy european leader gather rome friday sign new eu constitution many company focus matter much closer home namely stay business lille popular tourist destination briton want taste france weekend many tourist look impressively grand victorian chambre de commerce stand beside opera house consider built like town hall many northern english town wealth create coal steel textile like northern england industrial scotland industry long term decline last coal pit close 1990 beck crespel specialist steel firm armentieres 20 mile lille company laid worker since 1945 specialises make bolt fixing power station oil industry many built europe day director hugues charbonnier say pressure factory far east able make output cheaply key market china india business market absolutely global imagine living size business even within enlarge european union would need 350 people perhaps 150 200 say globalisation hurt law france mean worker paid 39 hour week even though work 35 hour least still steel industry coal totally vanished textile struggle new business attract enough make difference one reason people great fan eu say frederic sawicki politics lecturer university lille region today unemployment rate 12 area 15 see europe kind euro scepticism especially work class say strange lille crossroad europe anywhere benefiting euro euro design increase trade within eurozone big increase trade rest world much trade pass world large port rotterdam holland home specialist crane maker huisman itrec crane help build oil rig lift sunken russian submarine kursk sea bed huisman itrec set factory china cost cheaper main customer closer bos henk addink blame low growth rate europe lack order closer home u growth something like 6 china estimate 15 eu less 1 say mr addink blame euro stifle demand much prefer old currency europe move relation country economic performance germany industry export day economy whole mire slow growth high unemployment growth likely peak year 2 britain would bad year germany one best recent year germany make third eurozone economy major problem germany become powerhouse europe growth across bloc never go strong could however one factory near dutch border thing change siemens plant boscholt make cordless phone employ 2 000 staff staff start work extra four hour week extra pay siemens threaten take factory job hungary factory manager herbert stueker say hope increase productivity nearly 30 germany need much reform industry compete place hungary china government reform labour market cut generous unemployment system real solution cut wage low skilled worker say helmut schneider director institute study labour bonn university labour costly germany especially low skilled labour main problem could solve problem could cut unemployment half say eu set target efficient economy world 2010 four year process target seem away ever
business,madagascar completes currency switch madagascar complete replacement malagasy franc new currency ariary monday price contract quote ariary trading 1 893 u dollar malagasy franc lose almost half value 2004 longer legal tender remain exchangeable bank 2009 phase franc begin july 2003 intend distance country past french colonial rule address problem large amount counterfeit franc circulation question sovereignty reuters quote central bank official say symbolic independence old colonial way since left french monetary zone 1973 currency name ariary name pre colonial currency indian ocean island state
politics,blair say mayor apologise tony blair urge london mayor ken livingstone apologise nazi comment jewish reporter labour mr livingstone say stand remark accuse even standard journalist like concentration camp guard mr blair told five wright stuff show let apologise move mr livingstone say remark may offensive racist say would apologise even prime minister ask mr blair instrumental return mr livingstone labour party insist wednesday time london mayor say sorry lot u politics get angry journalist time time circumstance journalist jewish journalist yes apologise say let apologise move sensible thing tory leader michael howard ask mr livingstone remark reporter say important politician mindful language use particularly important get close election politician talk civility courtesy issue face say think matter sadness see labour party ken livingstone say alastair campbell say others say think matter great regret row blew mr livingstone approach even standard reporter oliver finegold follow party mark 20th anniversary former culture secretary chris smith come britain first gay mp tape mr livingstone work freelance restaurant critic paper heard ask mr finegold german war criminal mr finegold reply jewish german war criminal quite offend mayor say ah right well might actually like concentration camp guard paid weekly press conference tuesday mr livingstone say comment racist refuse apologise think racist think wrong told reporter dispute come inspection team international olympic committee begin four day tour ass london bid 2012 game official complaint make local government watchdog british jew demand investigation standard board england power suspend bar mr livingstone public office
